movieskey,trimmed names,moviename,deathcount,deathcomment,release date,budget,domestic gross,worldwide gross
1155,The Stepfather (1987),The Stepfather (1987),3,3,#N/A,#N/A,#N/A,
1156,The Stepfather (2009),The Stepfather (2009),4,4,#N/A,#N/A,#N/A,
1157,Green Lantern,Green Lantern,30,29 and Parallax,6/17/11,200000000,116601172,
1158,Valkyrie,Valkyrie,2015,2014 and a mosquito,12/25/08,90000000,83077762,
1159,Freeway Killer,Freeway Killer,7,7,#N/A,#N/A,#N/A,
1160,Unknown,Unknown,10,9 people and 2 taxis,11/3/06,3700000,63686397,
1161,The Mechanic,The Mechanic,29,29,1/28/11,42500000,29121498,
1162,Shooter,Shooter,56,55 people and a dog,3/23/07,60000000,47003582,
1163,The Taking of Pelham One Two Three,The Taking of Pelham One Two Three,5,5,#N/A,#N/A,#N/A,
1164,My Little Eye,My Little Eye,5,5,#N/A,#N/A,#N/A,
1165,Season of the Witch,Season of the Witch,1171,"1,140 people, 12 wolves, 18 zombie monks and 1 demon",1/7/11,40000000,24827228,
1166,Wishmaster 4: The Prophecy Fulfilled,Wishmaster 4: The Prophecy Fulfilled,8,7 and the Djinn,#N/A,#N/A,#N/A,
1167,The Jackal,The Jackal,18,18,11/14/97,60000000,54910560,
1168,Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows,36,36,12/16/11,125000000,186848418,
1169,Bronx Tale,Bronx Tale,6,6,#N/A,#N/A,#N/A,
1170,Freedom Writers,Freedom Writers,3,3,1/5/07,21000000,36605602,
1171,Gosford Park,Gosford Park,17,1 person and 16 birds,12/26/01,18000000,41300105,
1172,Daydream Nation,Daydream Nation,4,4,#N/A,#N/A,#N/A,
1173,Like Water for Chocolate,Like Water for Chocolate,9,8 and a baby,#N/A,#N/A,#N/A,
1174,Cop Land,Cop Land,8,8,8/15/97,15000000,44810734,
1175,Messages Deleted,Messages Deleted,6,6,#N/A,#N/A,#N/A,
1176,Hellbent,Hellbent,5,5,#N/A,#N/A,#N/A,
1177,Children of the Corn,Children of the Corn,23,22 and a dog,#N/A,#N/A,#N/A,
1178,Chrystal,Chrystal,3,2 and a dog,#N/A,#N/A,#N/A,
1179,Vile,Vile,9,8 and a fetus,#N/A,#N/A,#N/A,
1180,Bachelor Party in the Bungalow of the Damned,Bachelor Party in the Bungalow of the Damned,6,"2 people, 3 awful vampire chicks and 1 crappy male vampire",#N/A,#N/A,#N/A,
1181,Sutures,Sutures,16,16,#N/A,#N/A,#N/A,
1182,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,63,"56 people, 2 mermaids, 3 poisonous toads and 2 zombie pirates",5/20/11,250000000,241063875,
1183,Sister My Sister,Sister My Sister,2,2,#N/A,#N/A,#N/A,
1184,The Fish Child,The Fish Child,5,3 people and 2 dogs,#N/A,#N/A,#N/A,
1185,The Santa Clause,The Santa Clause,1,1 Santa,11/11/94,22000000,144700007,
1186,The Little Girl Who Lives Down the Lane,The Little Girl Who Lives Down the Lane,3,2 people and a hamster,#N/A,#N/A,#N/A,
1187,Amityville II: The Possession,Amityville II: The Possession,5,5,#N/A,#N/A,#N/A,
1188,The Hole,The Hole,4,4,12/31/01,7500000,0,
1189,Charade,Charade,4,4,#N/A,#N/A,#N/A,
1190,The Andromeda Strain,The Andromeda Strain,13,"3 people, 6 birds, 3 rats and a monkey",1/1/71,6500000,12376563,
1191,New Year's Evil,New Year's Evil,7,7,#N/A,#N/A,#N/A,
1192,Jonah Hex,Jonah Hex,482,482,6/18/10,47000000,10547117,
1193,Dorian Gray,Dorian Gray,5,4 and 1 maggot,#N/A,#N/A,#N/A,
1194,The Way of the Gun,The Way of the Gun,16,16,9/8/00,9000000,6047856,
1195,Push,Push,40,27 people and 13 fish,2/6/09,38000000,31811527,
1196,Paycheck,Paycheck,6,6,12/25/03,60000000,53789313,
1197,X-Men: First Class,X-Men: First Class,64,62 people and 2 mutants,6/3/11,160000000,146408305,
1198,Bless the Child,Bless the Child,6,6,8/11/00,40000000,29374178,
1199,Killer Joe,Killer Joe,2,2,7/27/12,10000000,1291645,
1200,Bourne Legacy,Bourne Legacy,19,"16 people, a wolf, a fox and an elk",#N/A,#N/A,#N/A,
1201,Blessed,Blessed,6,5 and a fetus,#N/A,#N/A,#N/A,
1235,Following,Following,2,2,#N/A,#N/A,44705,
1202,Death Wish 4: The Crackdown,Death Wish 4: The Crackdown,43,43,#N/A,#N/A,#N/A,
1203,In Bruges,In Bruges,5,5,2/8/08,15000000,7800825,
1204,The Last Lovecraft: Relic of Cthulhu,The Last Lovecraft: Relic of Cthulhu,29,"17 people, 1 merman, 2 deep sea creature pets, 1 half-breed, 1 star slayer scream dude, 5 elder things and 2 dinosaurs",#N/A,#N/A,#N/A,
1205,The Afflicted,The Afflicted,6,6,#N/A,#N/A,#N/A,
1206,My Year Without Sex,My Year Without Sex,1,1 fish,#N/A,#N/A,#N/A,
1207,Madhouse,Madhouse,1,1 snake,#N/A,#N/A,#N/A,
1208,Blubberella,Blubberella,31,23 people and 8 vampires,#N/A,#N/A,#N/A,
1209,Tucker & Dale vs. Evil,Tucker & Dale vs. Evil,14,14,9/30/11,5000000,223838,
1210,Die You Zombie Bastards!,Die You Zombie Bastards!,35,"6 people, 14 zombies, 3 ninjas, 3 robots, 2 disobedient dogmen, 3 mosquito warlords, 1 fly, amphibian guy, Nefarious and Vlad the Impaler",#N/A,#N/A,#N/A,
1211,"Filth to Ashes, Flesh to Dust","Filth to Ashes, Flesh to Dust",10,10,#N/A,#N/A,#N/A,
1212,The Butchers,The Butchers,12,3 people and 9 chickens,#N/A,#N/A,#N/A,
1213,The Ledge,The Ledge,1,1,#N/A,#N/A,#N/A,
1214,Mansfield Park,Mansfield Park,1,1,#N/A,#N/A,#N/A,
1215,Taken 2,Taken 2,26,26,10/5/12,45000000,139854287,
1216,Butchered,Butchered,11,10 and a dog,#N/A,#N/A,#N/A,
1217,Edge of Sanity,Edge of Sanity,6,6,#N/A,#N/A,#N/A,
1218,Grim Reaper,Grim Reaper,7,7,#N/A,#N/A,#N/A,
1219,The Dentist,The Dentist,4,3 and a dog,#N/A,#N/A,#N/A,
1220,The Tall Man,The Tall Man,1,1,#N/A,#N/A,#N/A,
1221,Skipped Parts,Skipped Parts,1,1 fetus,#N/A,#N/A,#N/A,
1222,Shooters,Shooters,9,9,#N/A,#N/A,#N/A,
1224,Sheltered,Sheltered,10,10,#N/A,#N/A,#N/A,
1225,Hollow Man,Hollow Man,9,"6 people, a rat, a fly and a dog",8/4/00,90000000,73209340,
1226,The Curve,The Curve,2,2,#N/A,#N/A,#N/A,
1227,Hollywoodland,Hollywoodland,2,2,#N/A,#N/A,#N/A,
1228,Kate's Addiction,Kate's Addiction,4,4,#N/A,#N/A,#N/A,
1229,From Paris with Love,From Paris with Love,48,48,2/5/10,52000000,24077427,
1230,"Blood, Guts, Bullets and Octane","Blood, Guts, Bullets and Octane",13,13,#N/A,#N/A,#N/A,
1231,Total Recall (2012),Total Recall (2012),50201,"195 people, 50,006 synthetic police",#N/A,#N/A,#N/A,
1232,Hollow Man 2,Hollow Man 2,11,11,#N/A,#N/A,#N/A,
1233,Winter's Bone,Winter's Bone,4,4 squirrels,6/11/10,2000000,6531503,
1234,Eve's Bayou,Eve's Bayou,4,4 and 0 motherfuckers,11/7/97,5000000,14821531,
1236,Bloodsport,Bloodsport,2,2 bodies and Van Damme gave us 10 full horizontal splits,2/26/88,1500000,11806119,
1237,Collateral,Collateral,15,15,8/6/04,60000000,100170152,
1238,Pandorum,Pandorum,2176,"2,174 and 2 grasshoppers",9/25/09,40000000,10330853,
1240,Raising Arizona,Raising Arizona,1,1,#N/A,#N/A,#N/A,
1241,Cat People,Cat People,5,"3, a bunny, and a panther-person",11/16/42,134000,7000000,
1242,Bad Ass,Bad Ass,4,4,#N/A,#N/A,#N/A,
1243,Beneath the Dark,Beneath the Dark,4,4,#N/A,#N/A,#N/A,
1244,Deadfall Trail,Deadfall Trail,8,"2 people, a beetle, 2 mealworms, 2 rabbits and an unknown bug",#N/A,#N/A,#N/A,
1245,Mr. Hush,Mr. Hush,5,4 and a vampire,#N/A,#N/A,#N/A,
1246,Mary Horror,Mary Horror,16,16 and an eyeball,#N/A,#N/A,#N/A,
1247,An American Werewolf in London,An American Werewolf in London,14,12 and 2 werewolves,#N/A,#N/A,#N/A,
1248,Judge Dredd,Judge Dredd,231,231 and an ABC robot,6/30/95,85000000,34687912,
1249,Extremely Loud & Incredibly Close,Extremely Loud & Incredibly Close,2763,"2,763",#N/A,#N/A,#N/A,
1250,Hot Shots!,Hot Shots!,12,12,#N/A,#N/A,#N/A,
1251,The Imaginarium of Doctor Parnassus,The Imaginarium of Doctor Parnassus,9,"6, 2 flies and a chicken",12/25/09,30000000,7689607,
1252,Aqua Teen Hunger Force Colon Movie Film for Theaters,Aqua Teen Hunger Force Colon Movie Film for Theaters,17,"2 people, 2 cats, 9 chocolate unicorns, 1 fly, 1 Insanoflex, 1 caterpillar and Chicken Bittle",4/13/07,750000,5520368,
1253,Water for Elephants,Water for Elephants,6,5 and a horse,4/22/11,38000000,58709717,
1254,The Dead One (El Muerto),The Dead One (El Muerto),3,3,#N/A,#N/A,#N/A,
1255,Hide and Creep,Hide and Creep,25,8 people and 17 zombies,#N/A,#N/A,#N/A,
1256,Spawn,Spawn,62,"39, 20 maggots, 2 worms and 1 Violator",7/31/97,40000000,54967359,
1257,Wonder Woman,Wonder Woman,96,"85, 2 fire breathing dragon dogs, 1 cyclops, 1 pegasus, 1 minotaur, 1 rat, 3 gargoyles, Deimos & Ares",#N/A,#N/A,#N/A,
1258,Melancholia,Melancholia,7021836029,"7,021,836,029",11/11/11,9400000,3030848,
1259,Barb Wire,Barb Wire,31,31,#N/A,#N/A,#N/A,
1260,Spaceballs,Spaceballs,19,19,6/24/87,22700000,36725144,
1261,The Best Exotic Marigold Hotel,The Best Exotic Marigold Hotel,1,1,5/4/12,10000000,46383639,
1262,Kinsey,Kinsey,1,1,11/12/04,11000000,10214647,
1263,Take Me Home,Take Me Home,1,1,#N/A,#N/A,#N/A,
1264,Blade II,Blade II,239,"34 people, 23 vampires, 86 reapers and 96 reaper fetuses",#N/A,#N/A,#N/A,
1265,Blade: Trinity,Blade: Trinity,254,"195 people, 55 vampires, 3 vampire dogs and Dracula",12/8/04,65000000,52397389,
1266,The Baytown Outlaws,The Baytown Outlaws,44,44,#N/A,#N/A,#N/A,
1267,Skyfall,Skyfall,50,50 and 2 bitches banged,11/8/12,200000000,304360277,
1268,Amityville Haunting,Amityville Haunting,12,12,#N/A,#N/A,#N/A,
1269,Grace,Grace,53,"3 people, 2 rats and 48 flies",8/14/09,5000000,8297,
1270,Bitten,Bitten,7,"4 people, 2 vampires and a cat",#N/A,#N/A,#N/A,
1271,Before the Devil Knows You're Dead,Before the Devil Knows You're Dead,6,6,#N/A,#N/A,#N/A,
1272,Hot Shots! Part Deux,Hot Shots! Part Deux,317,"315 people, a dog and a chicken",#N/A,#N/A,#N/A,
1273,Superman,Superman,2000000004,4 and the planet Krypton,12/15/78,55000000,134218018,
1274,Spider-Man,Spider-Man,19,19,5/3/02,139000000,403706375,
1275,Spider-Man 2,Spider-Man 2,5,4 and Doc Ock,6/30/04,200000000,373524485,
1276,X2,X2,33,31 and 2 mutants,5/2/03,125000000,214949694,
1277,Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone,3,2 and a unicorn,#N/A,#N/A,#N/A,
1278,Pain & Gain,Pain & Gain,2,2,4/26/13,26000000,49875291,
1279,Rampage,Rampage,70,70,#N/A,#N/A,#N/A,
1280,17 Girls,17 Girls,1,1 fetus,#N/A,#N/A,#N/A,
1281,Silent House,Silent House,1,1,3/9/12,2000000,12739737,
1282,Spider-Man 3,Spider-Man 3,3,2 and the Venom Symbiote,5/4/07,258000000,336530303,
1283,Fantastic Four,Fantastic Four,4,4,7/8/05,87500000,56117548,
1284,Fantastic Four: Rise of the Silver Surfer,Fantastic Four: Rise of the Silver Surfer,2,2,6/15/07,120000000,131921738,
1285,Daredevil,Daredevil,11,10 and a fly,2/14/03,80000000,102543518,
1286,Uncertainty,Uncertainty,1,1,#N/A,#N/A,#N/A,
1287,Fierce People,Fierce People,1,1,#N/A,#N/A,#N/A,
1288,The Shining,The Shining,5,5,5/23/80,19000000,44017374,
1289,Elektra,Elektra,22,22,1/14/05,65000000,24409722,
1290,Cabin Fever,Cabin Fever,19,"16 people, a pig, a dog and a deer",9/12/03,1500000,21158188,
1291,Supergirl,Supergirl,1,1,#N/A,#N/A,#N/A,
1292,Moonrise Kingdom,Moonrise Kingdom,2,1 dog and 1 fish,5/25/12,16000000,45512466,
1293,Pig Hunt,Pig Hunt,22,"16 people, a dog, a horse, a snake, a deer, a hog and The Ripper (a 3,000 lb hog)",#N/A,#N/A,#N/A,
1294,Catwoman,Catwoman,3,3,7/23/04,100000000,40202379,
1295,Captain America: The First Avenger,Captain America: The First Avenger,105,105,7/22/11,140000000,176654505,
1296,Superman II,Superman II,10,9 and a snake,6/19/81,54000000,101347629,
1373,DeadHeads,DeadHeads,32,18 people and 14 zombies,#N/A,#N/A,#N/A,
1297,Incredible Hulk Returns,Incredible Hulk Returns,2,2,#N/A,#N/A,#N/A,
1298,Trial of the Incredible Hulk,Trial of the Incredible Hulk,2,2,#N/A,#N/A,#N/A,
1299,Death of the Incredible Hulk,Death of the Incredible Hulk,5,4 and the Incredible Hulk,#N/A,#N/A,#N/A,
1300,The Incredibles,The Incredibles,24,"17, 5 bugs and 2 Omnidroid robots",11/5/04,92000000,261441092,
1301,The Hangover Part III,The Hangover Part III,9,"4 people, 2 chickens, 2 dogs and a giraffe",#N/A,#N/A,#N/A,
1302,Black Water,Black Water,7,"3 people, 1 fetus, 2 bugs and a crocodile",#N/A,#N/A,#N/A,
1303,Day After Tomorrow,Day After Tomorrow,2500500000,Most of the Northern Hemisphere,#N/A,#N/A,#N/A,
1304,Fast Five,Fast Five,35,35,4/29/11,125000000,209837675,
1305,Jesus Henry Christ,Jesus Henry Christ,5,5,#N/A,#N/A,#N/A,
1306,Shiver,Shiver,8,7 and a sheep,#N/A,#N/A,#N/A,
1307,Slaughtered,Slaughtered,10,10,#N/A,#N/A,#N/A,
1308,The Darjeeling Limited,The Darjeeling Limited,1,1,#N/A,#N/A,#N/A,
1309,Return to Paradise,Return to Paradise,1,1,#N/A,#N/A,#N/A,
1310,The Immaculate Conception of Little Dizzle,The Immaculate Conception of Little Dizzle,4,4 blue butt fish babies,#N/A,#N/A,#N/A,
1311,Truth or Die,Truth or Die,7,7,10/9/12,1000000,0,
1312,Frogs,Frogs,9,"7 people, 1 snake and an alligator",#N/A,#N/A,#N/A,
1313,Tank Girl,Tank Girl,95,"93 people, 1 Ripper and a yak",3/1/95,25000000,3817132,
1314,Dark House,Dark House,20,20,#N/A,#N/A,#N/A,
1315,The Big White,The Big White,1,1,#N/A,#N/A,#N/A,
1316,Dodgeball: A True Underdog Story,Dodgeball: A True Underdog Story,1,1,6/18/04,30000000,114326736,
1317,Bad Kids Go to Hell,Bad Kids Go to Hell,7,6 and a bug,#N/A,#N/A,#N/A,
1318,Hunger,Hunger,7,7,#N/A,#N/A,#N/A,
1319,Albino Alligator,Albino Alligator,8,8,1/17/97,5000000,326308,
1320,Superman III,Superman III,1,1 self aware supercomputer,6/17/83,39000000,59950623,
1321,The Longest Yard,The Longest Yard,2,1 and a Bentley,5/27/05,82000000,158119460,
1322,Love and a .45,Love and a .45,13,8 and 5 bugs,#N/A,#N/A,#N/A,
1323,Bad Girl Island,Bad Girl Island,4,4,#N/A,#N/A,#N/A,
1324,The Dark Knight Rises,The Dark Knight Rises,112,111 plus Bane,7/20/12,275000000,448139099,
1325,Intermedio,Intermedio,11,9 and 2 chickens,#N/A,#N/A,#N/A,
1326,Butter (2011),Butter (2011),2,2,#N/A,#N/A,#N/A,
1327,The Tortured,The Tortured,2,2,#N/A,#N/A,#N/A,
1328,The House of the Devil,The House of the Devil,3,3,10/30/09,1000000,101215,
1329,Gone,Gone,1,1,#N/A,#N/A,#N/A,
1330,The Perfect Family,The Perfect Family,1,1 fetus,#N/A,#N/A,#N/A,
1331,From Dusk Till Dawn 2: Texas Blood Money,From Dusk Till Dawn 2: Texas Blood Money,43,37 people and 6 vampires,#N/A,#N/A,#N/A,
1332,Ned Kelly,Ned Kelly,37,"31 people, 2 horses, 2 boar, a monkey and a lion",#N/A,#N/A,#N/A,
1333,Monkey Shines,Monkey Shines,6,"4 people, a bird and a monkey",#N/A,#N/A,#N/A,
1334,The Woman,The Woman,6,"4 people, a wolf and a fish",#N/A,#N/A,#N/A,
1335,Someone's Knocking at the Door,Someone's Knocking at the Door,4,4,#N/A,#N/A,#N/A,
1336,From Dusk Till Dawn 3: The Hangman's Daughter,From Dusk Till Dawn 3: The Hangman's Daughter,54,"35 people, 18 vampires and a horse",#N/A,#N/A,#N/A,
1337,Joe + Belle,Joe + Belle,1,1,#N/A,#N/A,#N/A,
1338,Straight A's,Straight A's,1,1,3/19/13,2000000,0,
1339,All Good Things,All Good Things,4,"2 people, a fetus and a dog",12/3/10,20000000,582024,
1340,House at the End of the Street,House at the End of the Street,5,5,9/21/12,6900000,31611916,
1341,Snow White: A Tale of Terror,Snow White: A Tale of Terror,13,"8 people, 1 stillborn baby, 1 horse, 1 pig, 1 bird and a crow",#N/A,#N/A,#N/A,
1342,Sweet Karma,Sweet Karma,9,9,#N/A,#N/A,#N/A,
1343,Scarecrows,Scarecrows,6,6,#N/A,#N/A,#N/A,
1344,Little Birds,Little Birds,1,1,#N/A,#N/A,#N/A,
1345,The Puffy Chair,The Puffy Chair,1,1 puffy chair,6/2/06,15000,194523,
1347,Shriek If You Know What I Did Last Friday the 13th,Shriek If You Know What I Did Last Friday the 13th,15,13 people and 2 bugs,#N/A,#N/A,#N/A,
1348,Cult of the Damned,Cult of the Damned,2,2,#N/A,#N/A,#N/A,
1349,360,360,2,2,#N/A,#N/A,#N/A,
1350,I Am Omega,I Am Omega,103,"3 people, 31 mutant creatures and a hive",#N/A,#N/A,#N/A,
1351,The Karate Kid (2010),The Karate Kid (2010),1,1 fly,#N/A,#N/A,#N/A,
1352,Superman IV: The Quest for Peace,Superman IV: The Quest for Peace,1,Nuclear Man,7/24/87,17000000,11227824,
1353,Detention,Detention,9,9,4/13/12,10000000,0,
1354,Dark Shadows,Dark Shadows,23,"21 people, a witch and a dog",5/11/12,150000000,79727149,
1355,True Lies,True Lies,87,87,7/15/94,100000000,146273950,
1356,Big Money Rustlas,Big Money Rustlas,10,9 and a bird,#N/A,#N/A,#N/A,
1357,Manic,Manic,1,1,#N/A,#N/A,#N/A,
1358,Virginia,Virginia,1,1,#N/A,#N/A,#N/A,
1359,Death Racers,Death Racers,46,45 and Metal Man ,#N/A,#N/A,#N/A,
1360,Ed and His Dead Mother,Ed and His Dead Mother,22,2 people and 20 bugs,#N/A,#N/A,673,
1361,Your Highness,Your Highness,26,"22 people, a pixie, a minotaur, mother witch and Leezar",4/8/11,50000000,21596445,
1362,"New York, I Love You","New York, I Love You",1,1,#N/A,#N/A,#N/A,
1363,Hannah Free,Hannah Free,1,1,#N/A,#N/A,#N/A,
1364,Scott Pilgrim vs. The World,Scott Pilgrim vs. The World,26,26,8/13/10,85000000,31524275,
1365,Penny Dreadful,Penny Dreadful,5,5,#N/A,#N/A,#N/A,
1366,Branded,Branded,3,2 people and a red cow,#N/A,#N/A,#N/A,
1367,Meeting Evil,Meeting Evil,18,18 people and 1 motherfucker,#N/A,#N/A,#N/A,
1368,Lethal Weapon,Lethal Weapon,28,28,3/6/87,15000000,59932279,
1369,Lethal Weapon 2,Lethal Weapon 2,28,28,#N/A,#N/A,#N/A,
1370,Blood Slaughter Massacre,Blood Slaughter Massacre,42,42,#N/A,#N/A,#N/A,
1371,The Box,The Box,8,8,11/6/09,25000000,15051977,
1372,Ted Bundy,Ted Bundy,18,18,#N/A,#N/A,#N/A,
1374,Hick,Hick,3,3,#N/A,#N/A,#N/A,
1375,Face/Off,Face/Off,46,46,6/27/97,80000000,112273211,
1376,Cool World,Cool World,1,1,#N/A,#N/A,#N/A,
1377,Cool and the Crazy,Cool and the Crazy,1,1,#N/A,#N/A,#N/A,
1378,Pieces,Pieces,7,7,#N/A,#N/A,#N/A,
1379,Nine Dead,Nine Dead,10,10,#N/A,#N/A,0,
1518,Static (a.k.a. Glitch),Static (a.k.a. Glitch),4,4,#N/A,#N/A,#N/A,
1380,Scarface (1932),Scarface (1932),30,30,#N/A,#N/A,#N/A,
1381,Elizabeth,Elizabeth,482,482,11/6/98,25000000,30012990,
1382,Elizabeth: The Golden Age,Elizabeth: The Golden Age,704,704,10/12/07,55000000,16285240,
1383,"Haunted House, A Haunted House","Haunted House, A Haunted House",2,1 and a dog,#N/A,#N/A,#N/A,
1384,The Lincoln Lawyer,The Lincoln Lawyer,2,1 and a dog,3/18/11,40000000,58009200,
1385,Kick-Ass 2,Kick-Ass 2,26,26,8/16/13,28000000,28795985,
1386,John Dies at the End,John Dies at the End,10018,"13, a fly, a dog, 3 space slugs and a swarm of white parasite things",#N/A,#N/A,#N/A,
1388,The Lorax,The Lorax,1,1 firefly,#N/A,#N/A,#N/A,
1389,Nature Calls,Nature Calls,1,1,#N/A,#N/A,#N/A,
1390,Looper,Looper,50,50,9/28/12,30000000,66486205,
1391,Brotherhood of Murder,Brotherhood of Murder,3,3,#N/A,#N/A,#N/A,
1392,The Magician,The Magician ,2,2,#N/A,#N/A,#N/A,
1393,The Conjuring,The Conjuring,7,1 dog and 6 birds,7/19/13,20000000,137400141,
1394,The Help,The Help,3,"1 person, 1 fetus and a chicken",8/10/11,25000000,169705587,
1395,The Deer Hunter,The Deer Hunter,36,34 and 2 deer,1/1/79,15000000,50000000,
1396,The Expendables 2,The Expendables 2,417,417 (203 before the title),8/17/12,100000000,85028192,
1397,Jack Reacher,Jack Reacher,18,18,12/21/12,60000000,80070736,
1398,Jacob,Jacob,15,"13, a cat and a raccoon",#N/A,#N/A,#N/A,
1399,We're the Millers,We're the Millers,1,1 shark,8/7/13,37000000,150394119,
1400,What to Expect When You're Expecting,What to Expect When You're Expecting,1,1 fetus,5/18/12,37500000,41152203,
1401,Dredd,Dredd,87,87,9/21/12,45000000,13414714,
1402,Radioland Murders,Radioland Murders,7,7,#N/A,#N/A,#N/A,
1403,The Conspirator,The Conspirator,6,6,4/15/11,25000000,11538204,
1404,Shark Night,Shark Night,11,9 people and 2 sharks,#N/A,#N/A,#N/A,
1405,Down to the Bone,Down to the Bone,1,1 mouse,#N/A,#N/A,#N/A,
1406,The Next Karate Kid,The Next Karate Kid,1,1 spider,#N/A,#N/A,#N/A,
1407,Kickboxer,Kickboxer,3,3,9/8/89,1500000,14533681,
1408,"Death Proof, Grindhouse","Death Proof, Grindhouse",6,6,#N/A,#N/A,#N/A,
1409,"Planet Terror, Grindhouse","Planet Terror, Grindhouse",169,"32 people, 136 infected and a dog",#N/A,#N/A,#N/A,
1410,"O Brother, Where Art Thou?","O Brother, Where Art Thou?",14,"7 people, a chicken, 2 gophers, 2 cows, a toad and a dog",12/22/00,26000000,45506619,
1411,Argo,Argo,1,1,10/12/12,44500000,136025503,
1412,Budz House,Budz House,1,1,#N/A,#N/A,#N/A,
1413,Vanity Fair,Vanity Fair,13302,2 and the Battle of Waterloo,9/1/04,23000000,16123851,
1414,Puncture,Puncture,2,2,#N/A,#N/A,#N/A,
1415,Animal Room,Animal Room,4,3 and a bunny,#N/A,#N/A,#N/A,
1416,"Mission: Impossible, Mission Impossible","Mission: Impossible, Mission Impossible",38,"7 people, a rat and 30 fish",#N/A,#N/A,#N/A,
1417,Confessions of a Dangerous Mind,Confessions of a Dangerous Mind,13,13,12/31/02,29000000,16003576,
1418,The Last Godfather,The Last Godfather,4,4,4/1/11,13400000,164247,
1419,Toast,Toast,2,2,#N/A,#N/A,#N/A,
1420,Wake the Witch,Wake the Witch,2,2,#N/A,#N/A,#N/A,
1421,Road Kill,Road Kill,4,4,#N/A,#N/A,#N/A,
1422,Armageddon,Armageddon,434119870,"2,405,324 people and 431,714,546 dinosaurs",7/1/98,140000000,201573391,
1423,Slave,Slave,12,12,#N/A,#N/A,#N/A,
1424,Assault of the Sasquatch,Assault of the Sasquatch,16,"14, a bear and a dog",#N/A,#N/A,#N/A,
1425,The Cold Light of Day,The Cold Light of Day,19,19,9/7/12,20000000,3763583,
1426,My Own Private Idaho,My Own Private Idaho,2,2,9/29/91,2500000,6401336,
1427,Acts of Worship,Acts of Worship,1,1,#N/A,#N/A,#N/A,
1428,White Irish Drinkers,White Irish Drinkers,1,1,#N/A,#N/A,#N/A,
1429,Feeding Grounds,Feeding Grounds,9,9,#N/A,#N/A,#N/A,
1430,House of Fears,House of Fears,9,9,#N/A,#N/A,#N/A,
1431,Halloween: Dia de Muertos,Halloween: Dia de Muertos,7,7,#N/A,#N/A,#N/A,
1432,Bikini Girls on Ice,Bikini Girls on Ice,12,11 and a dog,#N/A,#N/A,#N/A,
1433,Megan is Missing,Megan is Missing,1,1,#N/A,#N/A,#N/A,
1434,Igby Goes Down,Igby Goes Down,1,1,9/13/02,9000000,4777465,
1435,Slither,Slither,201,"97 people, 77 alien slugs, 11 dogs, 8 cats, 3 coyotes, 2 cows, a mare, a possum and a deer",3/31/06,15250000,7802450,
1436,Delhi Belly,Delhi Belly,6,6,#N/A,#N/A,#N/A,
1437,Clue,Clue,7,7,#N/A,#N/A,#N/A,
1438,Mad Max 2: The Road Warrior,Mad Max 2: The Road Warrior,42,"39 people, a rabbit, a snake and a dog",5/21/82,2000000,24600832,
1439,Road Trip: Beer Pong,Road Trip: Beer Pong,1,1 boar,#N/A,#N/A,#N/A,
1440,The Great Muppet Caper,The Great Muppet Caper,1,1 fly,#N/A,#N/A,#N/A,
1441,Mad Max Beyond Thunderdome,Mad Max Beyond Thunderdome,8,7 and a horse,7/10/85,10000000,36230219,
1442,Killer Elite,Killer Elite,17,17,9/23/11,70000000,25124986,
1443,Krull,Krull,44,"42 people, a cyclops and a beast",#N/A,#N/A,#N/A,
1444,The Perks of Being a Wallflower,The Perks of Being a Wallflower,1,1,9/21/12,13000000,17742948,
1445,Do the Right Thing,Do the Right Thing,1,1,6/30/89,6000000,24289231,
1447,Pleasures of the Damned,Pleasures of the Damned,17,14 people and 3 zombies,#N/A,#N/A,#N/A,
1448,The Great Gatsby (2013),The Great Gatsby (2013),3,3,#N/A,#N/A,#N/A,
1449,Belly,Belly,20,20,#N/A,#N/A,#N/A,
1450,Derailed,Derailed,13,13,11/11/05,22000000,36020063,
1451,Home Sweet Home,Home Sweet Home,9,9,#N/A,#N/A,#N/A,
1452,Crazy Eyes,Crazy Eyes,1,1,#N/A,#N/A,#N/A,
1453,The United States of Leland,The United States of Leland,1,1,#N/A,#N/A,#N/A,
1454,The Frighteners,The Frighteners,21,20 and a fly,#N/A,#N/A,#N/A,
1455,The Dark Crystal,The Dark Crystal,7,"2 Skeksis, 2 Mystic, 2 Landstriders and a crawly",#N/A,#N/A,#N/A,
1456,Mask Maker,Mask Maker,12,11 and a baby,#N/A,#N/A,#N/A,
1457,Bourne Identity,Bourne Identity,9,8 and a dog,#N/A,#N/A,#N/A,
1458,Choke,Choke,1,1,9/26/08,3400000,2926565,
1459,Explicit Ills,Explicit Ills,1,1,#N/A,#N/A,#N/A,
1460,Bourne Supremacy,Bourne Supremacy,9,9,#N/A,#N/A,#N/A,
1461,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,8,"1 snake, 1 basilisk and some mandrake roots",11/15/02,100000000,261987880,
