moviename,index,BoxOffice,ProductionBudget,Genre,ReleaseDate,deathcount,deathcomment
childs play 2,672,25459435,13000000,horror,11/9/1990,8,7 and a doll
childs play 3,,,,,,8,7 and a doll
chloe,675,3075255,13000000,thriller/suspense,3/26/2010,1,1
choke,678,2926565,3400000,comedy,9/26/2008,1,1
choking hazard,,,,,,9,6 people and 3 zombies
choose,,,,,,6,6
christmas evil you better watch out,,,,,,4,4
chrystal,,,,,,3,2 and a dog
chuck & buck,,,,,,1,1
cinderella,685,201151353,95000000,drama,3/13/2015,1,1
cinema verite,,,,,,0,0
circle,688,10024,2000000,horror,8/27/2010,50,49 and a fetus
cirque du freak: the vampires assistant,690,14046595,40000000,action,10/23/2009,1,1
citizen toxie: the toxic avenger iv,,,,,,2699,2698 and an unborn baby
city of god,,,,,,43,43
clash of the titans,700,30000000,15000000,adventure,6/12/1981,75,"69 plus 3 giant scorpions, 1 two-headed dog, Medusa and the Kraken"
clash of the titans,701,163214888,125000000,action,4/1/2010,1291,"1,281 plus 1 fish, 2 giant scorpions, 4 furies, Medusa, a djinn, and the kraken"
clay pigeons,703,1789892,8000000,thriller/suspense,9/25/1998,3,3
clerks,707,2852326,27000,comedy,10/19/1994,1,1
clockers,,,,,,4,4
cloud atlas,714,27108272,102000000,drama,10/26/2012,169,168 and a dog
cloudy with a chance of meatballs,715,124870275,100000000,comedy,9/18/2009,4,1 and 3 gummie bears
club dread,718,5001655,8500000,comedy,2/27/2004,13,"3 before the credits, then 10 more. And 2 quotes."
clue,,,,,,7,7
cocktail,,,,,,1,1
code 46,,,,,,2,1 and a fetus
coldwater,,,,,,8,8
collateral,725,100170152,60000000,action,8/6/2004,15,15
colombiana,728,36665854,40000000,thriller/suspense,8/26/2011,32,32
columbus circle,,,,,,5,5
comic book villains,,,,,,4,4
commando,731,34896317,10000000,action,10/4/1985,86,86
compliance,733,319285,270000,drama,8/17/2012,0,0
compulsion,,,,,,1,1 bird
con air,734,101087161,80000000,action,6/6/1997,31,"30, a tank and a car"
conan the barbarian,735,21295021,90000000,action,8/19/2011,76,"71 people, 3 horses, 1 buzzard and a giant snake"
confess,,,,,,1,1
confessions of a dangerous mind,739,16003576,29000000,drama,12/31/2002,13,13
conquest of the planet of the apes,,,,,,43,15 humans and 28 apes
constantine,745,75500759,75000000,action,2/18/2005,283,"5 people, 15 demons, 51 half breeds, 127 cows and 85 bugs"
contagion,747,75658097,60000000,thriller/suspense,9/9/2011,26000087,"Over 26 million people, 56 monkeys and one pig"
contract killers,,,,,,8,8
cool and the crazy,,,,,,1,1
cool hand luke,,,,,,6,"2, a bird, a snake, a dog and a turtle"
cool world,,,,,,1,1
cop land,753,44810734,15000000,drama,8/15/1997,8,8
cop out,754,44875481,37000000,comedy,2/26/2010,10,10
coraline,757,75286229,60000000,adventure,2/6/2009,21,"8 bugs, 2 rats, 1 cocoa beetle, 2 taffy sisters, 6 dog bats, 1 spider hand and 1 Other Dad"
cowboys and aliens,766,100240551,163000000,action,7/29/2011,130,"35 people, 11 horses, 44 cows and 40 aliens"
cracks,,,,,,1,1
crank,770,27838408,12000000,action,9/1/2006,23,22 and a bird
crank 2: high voltage,771,13684249,20000000,thriller/suspense,4/17/2009,41,41
crazy eyes,,,,,,1,1
crazy stupid love,776,84351197,50000000,comedy,7/29/2011,0,0
creature (2011),,,,,,12,"9 people, 1 white alligator, 1 snake and Lockjaw"
creep (2014),,,,,,1,1
creepshow,781,20036244,8000000,horror,11/10/1982,18,10 and 8 bugs
creepshow 2,782,14000000,3500000,horror,5/1/1987,14,13 and a duck
critters,,,,,,14,"1 bottle of whiskey, 1 cow, 1 chicken, 1 goldfish, 2 people, and 8 critters"
critters 2: the main course,,,,,,1274,"7 people, 1 bug, 1 dog, 3 cows, 1 space thing, 1261 critters and 1 alien bounty hunter"
critters 3: you are what they eat,,,,,,8,2 and 6 critters
critters 4,,,,,,26,"7, 6 eggs and 13 critters"
cruel world,,,,,,11,10 and a cow
crush,,,,,,1,1
cube,796,489220,250000,thriller/suspense,9/11/1998,6,6
cube 2,,,,,,15,15
cult of the damned,,,,,,2,2
cursed,799,19294901,35000000,horror,2/25/2005,5,4 and a werewolf
curve,,,,,,5,4 and a rat
cut,,,,,,15,15
cutting class,,,,,,8,7 and a fly
cyborg,,,,,,34,"34, all human, including a toddler"
cypher,,,,,,16,16
dallas buyers club,806,27298285,5000000,drama,11/1/2013,1,1
dance of the dead,,,,,,85,85
dances with wolves,811,175293948,19000000,western,11/9/1990,103,"52 people, 2 dogs, 41 buffalo, 7 horses and a wolf"
dangerous intentions,,,,,,1,1
dangerous love,,,,,,5,5
danika,,,,,,3,3
daredevil,817,102543518,80000000,action,2/14/2003,11,10 and a fly
dark house,,,,,,20,20
the dark knight,3334,533345358,185000000,action,7/18/2008,26,26
dark nature,,,,,,13,"9, a pheasant and 3 rabbits"
dark planet,,,,,,17,17
dark shadows,821,79727149,150000000,black comedy,5/11/2012,23,"21 people, a witch and a dog"
dark skies,822,17418667,3500000,thriller/suspense,2/22/2013,550,3 flocks of birds
dark town,,,,,,25,"14 people, 9 vampires, 1 baby and 1 cat"
dark water,823,25473093,60000000,thriller/suspense,7/8/2005,1,1
darkness falls,825,32539681,7000000,horror,1/24/2003,12,11 and an evil tooth fairy ghost bitch
date movie,831,48548426,20000000,comedy,2/17/2006,11,10 people and a rat
the day after tomorrow,3337,186740799,125000000,adventure,5/28/2004,2500500000,Most of the Northern Hemisphere
day of the dead,838,5804262,3500000,horror,7/3/1985,118,117 and one zombie boyfriend
daydream nation,,,,,,4,4
dead air,,,,,,160004,4 plus tens of thousands of people in sixteen major US cities.
dead alive,,,,,,41,"37, 1 rat monkey, 1 monkey, 1 dog and 1 rat"
dead and deader,,,,,,62,"52, 9 scorpions, and Dean Cain's career"
dead end,,,,,,6,6
dead fury,,,,,,14,13 and a squirrel
dead in the water,,,,,,3,3
dead in tombstone,,,,,,43,43
dead men dont wear plaid,,,,,,5,5
dead poets society,851,94326915,16400000,drama,6/2/1989,1,1
dead silence,,,,,,7,6 and 1 unborn child
dead snow,,,,,,46,"10, a crow, and 35 zombie Nazis"
deadfall,852,66351,6000000,thriller/suspense,12/7/2012,8,7 and a deer
deadfall trail,,,,,,8,"2 people, a beetle, 2 mealworms, 2 rabbits and an unknown bug"
deadheads,,,,,,32,18 people and 14 zombies
deadly detour,,,,,,23,22 and a fetus 
dear john,855,80014842,25000000,drama,2/5/2010,2,2
dear white people,,,,,,0,0
death bed: the bed that eats,,,,,,19,"16, a fly, 2 hands and 1 bed"
death note,,,,,,25,25
death of the incredible hulk,,,,,,5,4 and the Incredible Hulk
death proof grindhouse,,,,,,6,6
death racers,,,,,,46,45 and Metal Man 
death to smoochy,862,8355815,50000000,black comedy,3/29/2002,3,3
death to the supermodels,,,,,,7,7
death tunnel,,,,,,7,7
death wish,,,,,,11,11
death wish 2,,,,,,16,16
death wish 3,,,,,,77,75 and 2 roaches
death wish 4: the crackdown,,,,,,43,43
deception,864,4598506,25000000,thriller/suspense,4/25/2008,3,3
deep evil,,,,,,19,7 and 12 aliens
deep rising,870,11146409,45000000,action,1/30/1998,4207,"4,206 and one real unfriendly sea monster"
deepstar six,,,,,,10,9 people and 1 giant ugly sea creature
defending your life,,,,,,1,1
defendor,873,44462,3750000,drama,2/19/2010,2,2
delhi belly,,,,,,6,6
deliverance,,,,,,4,3 and a fish
derailed,880,36020063,22000000,action,11/11/2005,5,5
derailed,880,36020063,22000000,action,11/11/2005,13,13
deranged,,,,,,5,5
descendants,,,,,,1,1
desert hearts,,,,,,0,0
desperado,883,25405445,7000000,action,8/25/1995,51,51
despicable me,884,251513985,69000000,comedy,7/9/2010,1,1 bird
detention,,,,,,9,9
deuce bigalow: european gigolo,889,22264487,22000000,comedy,8/12/2005,4,4
deuce bigalow: male gigolo,890,65535067,18000000,comedy,12/10/1999,2,1 rainbow fish and 1 chinese tailbar lionfish
devil,892,33601190,10000000,horror,9/17/2010,7,7
devil in the flesh,,,,,,6,5 and 1 dog
devil seed,,,,,,3,3
devils knot,,,,,,3,3
devour,,,,,,12,"1 cougar, 10 people and 1 deer"
dial m for murder,,,,,,1,1
diamonds are forever,896,43800000,7200000,action,12/17/1971,66,66 and only 1 bitch banged
diary of the dead,901,952620,2750000,horror,2/15/2008,30,30
dick tracy (1990),,,,,,29,29
the dictator,3354,59650222,65000000,comedy,5/16/2012,2,2
die,,,,,,6,6
die another day,906,160932247,142000000,action,11/22/2002,24,24 and 2 bitches banged
die hard,908,80639179,28000000,action,7/15/1988,23,23
die hard 2,909,117323878,70000000,action,7/3/1990,265,265
die hard: with a vengeance,910,99983259,90000000,action,5/19/1995,16,16 plus 5 motherfuckers from Samuel L. Jackson
die you zombie bastards!,,,,,,35,"6 people, 14 zombies, 3 ninjas, 3 robots, 2 disobedient dogmen, 3 mosquito warlords, 1 fly, amphibian guy, Nefarious and Vlad the Impaler"
die! die! my darling!,,,,,,2,2
diggers,,,,,,1,1
dirty dancing,,,,,,1,1 fetus
