,moviename,BoxOffice,ProductionBudget,Genre,ReleaseDate,deathcount,deathcomment
612,friday the 13th,39754601.0,550000.0,horror,1980-05-09,11,10 and a snake
614,friday the 13th part 2,21722776.0,1250000.0,horror,1981-04-30,9,9
615,friday the 13th part 3,33985198.0,2250000.0,horror,1982-08-13,13,12 and an unborn baby
616,friday the 13th part iv: the final chapter,30393007.0,2600000.0,horror,1984-04-13,14,14
617,friday the 13th part v: a new beginning,20674880.0,2200000.0,horror,1985-03-22,19,19
618,friday the 13th part vi: jason lives,17834917.0,3000000.0,horror,1986-08-01,18,17 (including a 3-for-one decapitation) and 1 bug
619,friday the 13th part vii: the new blood,19170001.0,2800000.0,horror,1988-05-13,16,16
620,friday the 13th part viii: jason takes manhattan,14343976.0,5000000.0,horror,1989-07-28,22,22
623,fright night,18298649.0,30000000.0,horror,2011-08-19,10,5 and 5 vampires
626,from dusk till dawn,25728961.0,20000000.0,horror,1996-01-19,94,23 humans and 71 vampires
629,from hell,31598308.0,35000000.0,thriller/suspense,2001-10-19,8,8
630,from paris with love,24077427.0,52000000.0,thriller/suspense,2010-02-05,48,48
631,from russia with love,24800000.0,2000000.0,action,1964-04-08,23,"22, 1 siamese fighting fish, and 2 bitches banged"
632,frozen,400738009.0,150000000.0,adventure,2013-11-22,6,1 ship
637,gangs of new york,77730500.0,97000000.0,drama,2002-12-20,95,94 and a rat
638,garden state,26782316.0,2500000.0,drama,2004-07-28,1,1 hamster
639,gattaca,12339633.0,36000000.0,drama,1997-10-24,5,2 and 3 zygotes
640,gentlemen broncos,113682.0,9500000.0,comedy,2009-10-30,0,0
641,get hard,90411453.0,40000000.0,comedy,2015-03-27,0,0
642,get smart,130319208.0,80000000.0,comedy,2008-06-20,14,13 and a robot fly
646,ghost dog: way of the samurai,3330230.0,2000000.0,drama,2000-03-03,45,"18 people, 26 pigeons and 1 bear"
648,ghost rider,115802596.0,120000000.0,action,2007-02-16,26,"21, 4 demons and an iguana"
649,ghost ship,30113491.0,20000000.0,horror,2002-10-25,1137,"1,137"
650,ghostbusters,242212467.0,30000000.0,comedy,1984-06-08,3,1 Stay Puft Marshmallow Man and 2 gargoyle dogs
655,gi jane,48154732.0,50000000.0,drama,1997-08-22,15,15
656,gi joe: the rise of cobra,150201498.0,175000000.0,action,2009-08-07,149,149
670,goldeneye,105978900.0,60000000.0,action,1995-11-17,60,60 and 2 bitches banged
671,goldfinger,51100000.0,3000000.0,action,1964-12-22,60,60 and 2 bitches banged
673,gone girl,167767189.0,61000000.0,thriller/suspense,2014-10-03,1,1
674,good night and good luck,31501218.0,7000000.0,drama,2005-10-07,1,1
678,good will hunting,138339411.0,10000000.0,drama,1997-12-05,0,0
679,goodfellas,46261759.0,25000000.0,drama,1990-09-19,10,10
680,gosford park,41300105.0,18000000.0,comedy,2001-12-26,17,1 person and 16 birds
682,grace,8297.0,5000000.0,horror,2009-08-14,53,"3 people, 2 rats and 48 flies"
683,gran torino,148095302.0,25000000.0,drama,2008-12-12,1,1
684,gravity,274092705.0,110000000.0,thriller/suspense,2013-10-04,4,4
685,green lantern,116601172.0,200000000.0,action,2011-06-17,30,29 and Parallax
