,moviename,BoxOffice,ProductionBudget,Genre,ReleaseDate,deathcount,deathcomment
333,scarface,44942821.0,25000000.0,drama,1983-12-09,42.0,42
335,the usual suspects,23272306.0,6000000.0,drama,1995-08-16,42.0,41 and a dog
336,crank 2: high voltage,13684249.0,20000000.0,thriller/suspense,2009-04-17,41.0,41
338,live free or die hard,134529403.0,110000000.0,action,2007-06-27,41.0,41
341,push,31811527.0,38000000.0,thriller/suspense,2009-02-06,40.0,27 people and 13 fish
343,predator 2,28317513.0,35000000.0,action,1990-11-21,39.0,38 and a predator
345,mission: impossible,180891004.0,80000000.0,action,1996-05-21,38.0,"7 people, a rat and 30 fish"
350,swordfish,69772969.0,80000000.0,action,2001-06-08,37.0,36 and a yacht
351,this is the end,101470202.0,32000000.0,comedy,2013-06-12,37.0,36 and a demon
352,big trouble in little china,10911690.0,25000000.0,action,1986-07-01,36.0,"35 and a thing they called a guardian but which I think looks like a beholder. Not a behemoth, which is what I said the first time. Wrong b word."
353,sherlock holmes: a game of shadows,186848418.0,125000000.0,action,2011-12-16,36.0,36
355,the boondock saints,30471.0,7000000.0,action,2000-01-21,36.0,35 and a cat
356,the deer hunter,50000000.0,15000000.0,drama,1979-01-01,36.0,34 and 2 deer
360,fast five,209837675.0,125000000.0,action,2011-04-29,35.0,35
361,jurassic world,652198010.0,215000000.0,action,2015-06-12,35.0,"19 people, a pig, a goat, a bug, 1 Ankylosaurus, 6 Apatosaurus, 1 Dimorphodon, 1 Pteranondon, 3 Velociraptors and 1 Indominus Rex "
364,shaun of the dead,13464388.0,5000000.0,comedy,2004-09-24,35.0,34 and a pigeon
365,smokin aces,35662731.0,17000000.0,comedy,2007-01-26,35.0,35
370,falcon rising,11774.0,4500000.0,adventure,2014-09-04,34.0,34
371,jupiter ascending,47482519.0,179000000.0,action,2015-02-06,34.0,"7 people, 18 aliens, 7 gargoyles and 2 gun-armed guards"
373,tremors,16667084.0,10000000.0,action,1990-01-19,34.0,"9 people, 20 sheep, 1 horse, 4 graboids"
375,28 days later,45064915.0,8000000.0,horror,2003-06-27,33.0,32 and a monkey
377,bullet to the head,9489829.0,55000000.0,action,2013-02-01,33.0,33
380,ronin,41609593.0,55000000.0,action,1998-09-25,33.0,33
384,x2,214949694.0,125000000.0,action,2003-05-02,33.0,31 and 2 mutants
385,colombiana,36665854.0,40000000.0,thriller/suspense,2011-08-26,32.0,32
387,hannibal rising,27669725.0,50000000.0,thriller/suspense,2007-02-09,32.0,"30 people, a fish and a bird"
388,max payne,40687294.0,35000000.0,action,2008-10-17,32.0,32
392,butch cassidy and the sundance kid,102308900.0,6000000.0,western,1969-10-24,31.0,"29, a snake and a horse"
393,con air,101087161.0,80000000.0,action,1997-06-06,31.0,"30, a tank and a car"
394,divergent,150947895.0,85000000.0,adventure,2014-03-21,31.0,31
397,halloween 3: season of the witch,14400000.0,2500000.0,horror,1982-10-22,31.0,8 people and 23 robots
398,la confidential,64604977.0,35000000.0,drama,1997-09-19,31.0,31
399,my bloody valentine,51545952.0,14000000.0,horror,2009-01-16,31.0,31
401,tombstone,56505065.0,25000000.0,western,1993-12-25,31.0,31
402,2 guns,75612460.0,61000000.0,action,2013-08-02,30.0,"25, 3 chickens and 2 deer"
404,diary of the dead,952620.0,2750000.0,horror,2008-02-15,30.0,30
406,green lantern,116601172.0,200000000.0,action,2011-06-17,30.0,29 and Parallax
408,nightcrawler,32381218.0,8500000.0,thriller/suspense,2014-10-31,30.0,30
410,resident evil,39532308.0,35000000.0,horror,2002-03-15,30.0,"21, 8 dogs and 1 licker"
411,salt,118311368.0,130000000.0,thriller/suspense,2010-07-23,30.0,30
413,the interview,6105175.0,44000000.0,comedy,2014-02-06,30.0,29 and a tiger
417,mission: impossible iii,133501348.0,150000000.0,action,2006-05-05,29.0,29
418,repo men,13794835.0,32000000.0,action,2010-03-19,29.0,29
419,richard iii,2684904.0,9200000.0,drama,1995-12-29,29.0,29
421,the mechanic,29121498.0,42500000.0,action,2011-01-28,29.0,29
422,tron,26918576.0,17000000.0,action,1982-07-09,29.0,"19 programs, 7 recognizers, 2 tanks and 1 master control program"
423,a view to a kill,49667091.0,30000000.0,action,1985-05-24,29.0,29 and 4 bitches banged
425,lethal weapon,59932279.0,15000000.0,action,1987-03-06,28.0,28
430,the missing,26900336.0,65000000.0,western,2003-11-26,28.0,"25 people, a deer and 2 horses"
433,broken arrow,70640985.0,65000000.0,action,1996-02-09,27.0,27
434,flushed away,64665672.0,149000000.0,comedy,2006-11-03,27.0,3 flies and 2 bowls of maggots
436,safe house,126181630.0,85000000.0,thriller/suspense,2012-02-10,27.0,27
437,star trek ii: the wrath of khan,78633541.0,12000000.0,adventure,1982-06-04,27.0,25 and 2 earwigs
440,the dark knight,533345358.0,185000000.0,action,2008-07-18,26.0,26
441,final destination 2,46896664.0,26000000.0,horror,2003-01-31,26.0,26
442,ghost rider,115802596.0,120000000.0,action,2007-02-16,26.0,"21, 4 demons and an iguana"
444,kick-ass 2,28795985.0,28000000.0,action,2013-08-16,26.0,26
445,rise of the planet of the apes,176760185.0,93000000.0,adventure,2011-08-05,26.0,"8 people, 15 chimps, 1 gorilla, 1 orangutan and a bug"
446,rob roy,31341940.0,28000000.0,drama,1995-04-07,26.0,"14, a dog, 7 cows, 2 chickens and 2 sheep"
447,scott pilgrim vs the world,31524275.0,85000000.0,comedy,2010-08-13,26.0,26
449,taken 2,139854287.0,45000000.0,thriller/suspense,2012-10-05,26.0,26
450,the hunger games,408010692.0,80000000.0,thriller/suspense,2012-03-23,26.0,"22, a bird, a lizard, 2 squirrels and a placemat"
452,your highness,21596445.0,50000000.0,comedy,2011-04-08,26.0,"22 people, a pixie, a minotaur, mother witch and Leezar"
453,austin powers: international man of mystery,53868030.0,18000000.0,comedy,1997-05-02,25.0,18 and 7 fembots
460,the a-team,77222099.0,110000000.0,action,2010-06-11,25.0,25
